Noun,Frequency,English
证明,220.0,prove
言语,220.0,speech
癫痫,220.0,epilepsy
外界,219.0,outside world
修道院,219.0,monastery
友情,219.0,friendship
级,219.0,class
性别,219.0,gender
拇指,219.0,thumb
理性,219.0,reason
外交,218.0,diplomatic
准则,218.0,criteria
事态,218.0,situation
效应,218.0,effect
避孕套,218.0,condom
烟草,218.0,tobacco
芭蕾舞,217.0,ballet
庄园,217.0,manor
坏话,217.0,bad words
伴郎,217.0,best man
